11.log,11,000,[],cndo,-14.3161811618,-17.8484909005,3.5736710421,3.8555809789,6,1.9342,-26.7637927,000,0
1111-.log,1111-,000,[],cndo,-13.8848807276,-15.0111599055,0.035374799,3.7584363385,11,0.0592,-52.1702446,000,0
1111-11-.log,1111-11-,000,[],cndo,-13.3588846776,-14.5504711768,-1.0171615286,3.1072679228,16,1.539,-77.5511609,000,0
1111-11-11-.log,1111-11-11-,000,[],cndo,-8.3356632174,-11.1534020159,-2.8250858722,-2.5072569087,21,8.7865,-102.7208809,000,0
1111-11-11.log,1111-11-11,000,[],cndo,-8.5416533932,-11.3008877164,-2.1529646909,2.2267075411,21,7.4335,-103.0922148,000,0
1111-11.log,1111-11,000,[],cndo,-13.0345249821,-14.5023070274,-1.0650535642,3.1469965432,16,1.8054,-77.5489241,000,0
1111-1111-.log,1111-1111-,000,[],cndo,-11.1729942123,-11.5068778922,-3.0313481618,-0.5842284114,21,0.1084,-102.7886674,000,0
1111-1111.log,1111-1111,000,[],cndo,-11.2372130782,-11.7240247354,-3.0947506862,-0.7390611856,21,3.8518,-102.7860463,000,0
1111.log,1111,000,[],cndo,-14.0508701692,-15.2220481304,0.0655794351,4.6221256622,11,2.8532,-52.173481,000,0
111111-.log,111111-,000,[],cndo,-13.3618779299,-14.551831746,-1.016617301,3.1037304429,16,1.5756,-77.5511858,000,0
111111-11-.log,111111-11-,000,[],cndo,-11.2913637321,-11.9174976747,-3.1309418268,-0.9826030711,21,0.118,-102.7830123,000,0
111111-11.log,111111-11,000,[],cndo,-11.2366688505,-11.7193988002,-3.0977439385,-0.7377006164,21,3.843,-102.7858749,000,0
111111.log,111111,000,[],cndo,-13.6680059983,-14.5953699602,-0.9526705489,3.160874349,16,3.2976,-77.5504735,000,0
11111111-.log,11111111-,000,[],cndo,-8.334574762,-11.1615654311,-3.0357019833,-2.3091580342,21,8.767,-102.7198412,000,0
11111111.log,11111111,000,[],cndo,-11.3749026805,-11.7218478247,-2.9725715727,-0.8925333906,21,2.9968,-102.7668199,000,0
12aa.log,12aa,000,[],cndo,-12.282674446,-15.98478322,3.6623801535,4.678181113,13,0.797,-49.6051599,000,0
12aa12aa-.log,12aa12aa-,000,[],cndo,-9.6935112719,-15.5064070918,1.5276470898,4.9415873087,25,0.0027,-97.8658117,000,0
12aa12aa-12aa-12aa-.log,12aa12aa-12aa-12aa-,000,[],cndo,-8.0932097872,-14.8255782676,0.2617735127,2.2139181907,49,1.5024,-194.391147,000,0
12aa12aa-12aa-12aa.log,12aa12aa-12aa-12aa,000,[],cndo,-8.1011010885,-14.8372791627,0.2503447315,2.2131018492,49,0.142,-194.3919928,000,0
