11.log,11,000,[],indo,-13.5855555052,-17.7997825234,3.6370735665,3.6825165776,6,1.8875,-25.67407,000,0
1111-.log,1111-,000,[],indo,-13.167860763,-15.0786441375,0.0195921964,3.590814214,11,0.0581,-49.9801191,000,0
1111-11-.log,1111-11-,000,[],indo,-12.5716593426,-14.6473437033,-1.0906322651,3.1954328065,16,1.451,-74.2597709,000,0
1111-11-11-.log,1111-11-11-,000,[],indo,-7.8227286316,-10.1724316278,-3.115431338,-2.0846641174,21,8.3005,-98.3355925,000,0
1111-11-11.log,1111-11-11,000,[],indo,-8.0997405193,-10.2654945606,-1.6245196164,1.2718600816,21,7.5631,-98.690678,000,0
1111-11.log,1111-11,000,[],indo,-12.3090694884,-14.6087035383,-1.1442386913,3.2294470363,16,1.7062,-74.2579138,000,0
1111-1111-.log,1111-1111-,000,[],indo,-10.537880513,-11.3934064216,-2.9638639299,-0.3670815683,21,0.2426,-98.4110633,000,0.0166666667
1111-1111.log,1111-1111,000,000,000,000,000,000,000,000,000,000,000,000
1111.log,1111,000,[],indo,-13.2244604414,-14.949662178,0.0533343124,4.4490612609,11,2.7126,-49.9830728,000,0
111111-.log,111111-,000,[],indo,-12.5738362533,-14.6487042725,-1.0900880374,3.1916232128,16,1.4887,-74.2598089,000,0
111111-11-.log,111111-11-,000,[],indo,-10.6663182449,-11.8761363712,-3.0506682444,-0.7896743596,21,0.1811,-98.4045308,000,0.0166666667
111111-11.log,111111-11,000,000,000,000,000,000,000,000,000,000,000,000
111111.log,111111,000,[],indo,-12.7643159403,-14.3403992934,-1.0149846179,3.2580189894,16,3.128,-74.2586144,000,0
11111111-.log,11111111-,000,[],indo,-7.8230007455,-10.1765133354,-3.1973376034,-2.0098328118,21,8.2747,-98.3344804,000,0.0166666667
11111111.log,11111111,000,[],indo,-10.7803339432,-11.5202114703,-2.9625033607,-0.6775634581,21,2.6983,-98.384319,000,0.0166666667
12aa.log,12aa,000,[],indo,-11.7041604252,-15.6329400267,4.3067457233,4.4525987408,13,0.7309,-47.7506978,000,0
12aa12aa-.log,12aa12aa-,000,[],indo,-9.0962213962,-14.9180969727,2.2030336372,4.4161354864,25,0.0021,-94.1506577,000,0
12aa12aa-12aa-12aa-.log,12aa12aa-12aa-12aa-,000,[],indo,-7.4937430008,-14.1333206623,0.9763444528,2.884406689,49,1.4297,-186.9542218,000,0
12aa12aa-12aa-12aa.log,12aa12aa-12aa-12aa,000,[],indo,-7.5008179606,-14.1847501778,0.9611060779,2.8833182337,49,0.1618,-186.9551162,000,0
12aa12aa-12aa.log,12aa12aa-12aa,000,[],indo,-8.0542975083,-14.2010770081,1.3836988692,3.8534040682,37,0.678,-140.553071,000,0
12aa12aa-12aa12aa-.log,12aa12aa-12aa12aa-,000,[],indo,-7.5016343021,-14.2097846509,0.942330223,2.8884883966,49,0.0091,-186.9558761,000,0
